n,MSE
1,0.03535667061805725
2,0.024576470255851746
3,0.008813004940748215
4,0.0024176903534680605
5,0.0007700047572143376
6,0.00036373327020555735
7,0.0003182970976922661
8,0.0002628978400025517
9,4.216391971567646e-05
10,4.106093547306955e-05
11,3.2274649129249156e-05
12,2.5024057322298177e-05
13,2.3278889784705825e-05
14,2.1137962903594598e-05
15,2.096738353429828e-05
16,2.029850111284759e-05
17,1.9687318854266778e-05
18,1.9554905520635657e-05
19,1.940066613315139e-05
20,1.8474545868230052e-05
21,1.7709964595269412e-05
22,1.7086154912249185e-05
23,1.5650228306185454e-05
24,1.523630453448277e-05
25,1.4565620404027868e-05
26,1.3964390745968558e-05
27,1.3662710443895776e-05
28,1.1491023542475887e-05
29,1.1491023542475887e-05
30,1.0442130587762222e-05
31,1.02437461464433e-05
32,9.811276868276764e-06
33,9.435834726900794e-06
34,8.797285772743635e-06
35,8.276268090412486e-06
36,7.883952093834523e-06
37,7.533923053415492e-06
38,6.996559022809379e-06
39,5.44745762454113e-06
40,5.1922525017289445e-06
41,5.068459358881228e-06
42,4.784471911989385e-06
43,2.651273007359123e-06
44,2.4951341401902027e-06
45,1.946631300597801e-06
46,1.8675917772270623e-06
47,1.7946142634173157e-06
48,1.4846127669443376e-06
49,1.3906508229410974e-06
