n,MSE
1,0.09306080639362335
2,0.09293309599161148
3,0.02095874957740307
4,0.0184938944876194
5,0.005276681389659643
6,0.002835968742147088
7,0.0009617282776162028
8,0.0007919795461930335
9,0.0005327814724296331
10,0.0003626670513767749
11,0.0003626670513767749
12,0.000335008924594149
13,0.0003067732322961092
14,7.3011833592318e-05
15,7.3011833592318e-05
16,4.131614332436584e-05
17,4.124098995816894e-05
18,3.9434642530977726e-05
19,3.9118116546887904e-05
20,3.493977419566363e-05
21,3.0561153835151345e-05
22,3.0561153835151345e-05
23,2.850485543604009e-05
24,2.741591197263915e-05
25,2.719557232921943e-05
26,2.690095607249532e-05
27,2.606044290587306e-05
28,2.5991577786044218e-05
29,2.4528042558813468e-05
30,2.4528042558813468e-05
31,2.3578841137350537e-05
32,2.3515325665357523e-05
33,2.290164411533624e-05
34,2.1798605303047225e-05
35,2.01750299311243e-05
36,1.9589191651903093e-05
37,1.893410262709949e-05
38,1.7959191609406844e-05
39,1.728969073155895e-05
40,1.7167099940706976e-05
41,1.688873271632474e-05
42,1.6473741197842173e-05
43,1.52720240294002e-05
44,1.52720240294002e-05
45,1.4631885278504342e-05
46,1.4401604857994244e-05
47,1.4252100299927406e-05
48,1.3853566997568123e-05
49,1.3853566997568123e-05
50,1.28585597849451e-05
51,1.2546582183858845e-05
52,1.2380131011013873e-05
53,1.221400270878803e-05
54,1.2203658116050065e-05
55,1.153621451521758e-05
56,1.1108423677796964e-05
57,1.1108423677796964e-05
58,1.0999322512361687e-05
59,9.438145752937999e-06
60,9.438145752937999e-06
61,9.338474228570703e-06
62,8.513221473549493e-06
63,8.306371455546468e-06
64,8.295366569655016e-06
65,8.10646997706499e-06
66,7.942026968521532e-06
67,7.704852578171995e-06
68,4.935553533869097e-06
69,4.866715698881308e-06
70,3.853435373457614e-06
71,3.7441407130245352e-06
72,3.725182068592403e-06
73,3.0281319141067797e-06
74,2.5479848773102276e-06
75,2.4499545361322816e-06
76,1.93581695384637e-06
77,1.9211252038076054e-06
78,1.2348748441581847e-06
79,1.1178034355907585e-06
80,4.3365014334995067e-07
81,2.36350430782295e-07
82,1.4229760836315108e-07
83,1.353785847868494e-07
84,6.953038678148005e-08
