n,MSE
1,0.08305948972702026
2,0.011166843585669994
3,0.0027846856974065304
4,0.001947085838764906
5,0.0015745885903015733
6,0.0013011082774028182
7,0.0010955739999189973
8,0.0009458984714001417
9,0.0008249753736890852
10,0.0007160083041526377
11,0.0006109871901571751
12,0.0005458514206111431
13,0.00047243275912478566
14,0.0004239087284076959
15,0.00038839675835333765
16,0.00032967570587061346
17,0.0002841001842170954
18,0.00024218550242949277
19,0.00019898339814972132
20,0.00016055148444138467
21,0.00012632457946892828
22,8.806745609035715e-05
23,5.219206650508568e-05
24,1.7091630070353858e-05
