n,MSE
1,0.10024125128984451
2,0.025327809154987335
3,0.005389073863625526
4,0.0019143357640132308
5,0.001243853708729148
6,0.00013413185661192983
7,0.00010788823419716209
8,0.00010282890434609726
9,8.549326594220474e-05
10,5.625163612421602e-05
11,5.481396510731429e-05
12,4.570807141135447e-05
13,4.242574505042285e-05
14,3.8298850995488465e-05
15,3.4059696190524846e-05
16,3.182856016792357e-05
17,2.967033833556343e-05
18,2.9601555070257746e-05
19,2.7765363483922556e-05
20,2.5302959329565056e-05
21,2.349119858990889e-05
22,1.4024087249708828e-05
23,1.4024087249708828e-05
24,7.42548081689165e-06
25,3.111189698756789e-06
26,3.0292378596641356e-06
27,3.0292378596641356e-06
28,2.1135529095772654e-06
29,1.9190276816516416e-06
30,1.4973832094256068e-06
31,1.4973832094256068e-06
32,1.4278966773417778e-06
33,1.275859858651529e-06
34,1.031161787068413e-06
35,1.0043444262919365e-06
36,8.336392625096778e-07
37,7.573999596388603e-07
38,6.439628918997187e-07
39,6.197639663696464e-07
40,2.8922761430294486e-07
41,1.1670111632611224e-07
42,5.889016918558809e-08
43,5.889016918558809e-08
