n,MSE
1,0.04312938451766968
2,0.01756216026842594
3,0.006348590832203627
4,0.004319941159337759
5,0.004319941159337759
6,0.0034222605172544718
7,0.0027905446477234364
8,0.002411928027868271
9,0.001973778009414673
10,0.001973778009414673
11,0.0017661427846178412
12,0.001409650081768632
13,0.001409650081768632
14,0.0012960154563188553
15,0.00117059878539294
16,0.0010649854084476829
17,0.0009346753940917552
18,0.0006850840873084962
19,0.0006233403109945357
20,0.0006233403109945357
21,0.0005347476107999682
22,0.00043699817615561187
23,0.000341921579092741
24,0.0002621913736220449
25,0.00011518266546772793
26,3.636360270320438e-05
27,3.636360270320438e-05
