n,MSE
1,0.13069090644400833
2,0.0800302748863909
3,0.057514416562732804
4,0.04484922887093593
5,0.03674349444300218
6,0.031114500059607475
7,0.026978901806934758
8,0.02381257508138264
9,0.021310777723775633
10,0.0192843143140315
11,0.01760954426889813
12,0.016202265870095912
13,0.015003158870836444
14,0.013969229504486794
15,0.013068557023517556
16,0.012276945538685068
17,0.011575721139019363
18,0.010950241995875092
19,0.010388866060292969
20,0.009882220403781287
21,0.009422674163510284
22,0.00900395184778309
23,0.008620845252009103
24,0.008268995847461418
25,0.007944728320453925
26,0.007644921765353576
27,0.007366908956537679
28,0.007108396809191353
29,0.006867403005470655
30,0.006642205078960923
31,0.006431299191019426
32,0.006233366513000289
33,0.00604724562613
34,0.0058719097188238804
35,0.005706447636025723
36,0.005550048042236198
37,0.005401986117312671
38,0.005261612324764826
39,0.005128342885440845
40,0.00500165166197666
41,0.00488106321614901
42,0.00476614684602595
43,0.004656511445306776
44,0.00455180105556552
45,0.004451691004834694
46,0.004355884544292489
47,0.00426410990967215
48,0.004176117746112163
49,0.004091678845066644
50,0.0040105821500322335
51,0.003932632994563199
52,0.0038576515416109914
53,0.003785471397853336
54,0.0037159383805425356
55,0.0036489094176407463
56,0.00358425156473251
57,0.0035218411245012135
58,0.0034615628564994253
59,0.003403309266592418
60,0.0033469799668582817
61,0.003292481097926678
62,0.00323972480676437
63,0.0031886287737963566
64,0.003139115784009267
65,0.0030911133373373897
66,0.00304455329419699
67,0.0029993715525244635
68,0.002955507753099433
69,0.0029129050103043727
70,0.0028715096657954977
71,0.00283127106284216
72,0.0027921413393394443
73,0.002754075237715793
74,0.0027170299301484064
75,0.0026809648576673305
76,0.0026458415818775174
77,0.0026116236481593157
78,0.0025782764593239383
79,0.0025457671588034556
80,0.0025140645225463073
81,0.0024831388588707056
82,0.002452961915600776
83,0.0024235067938749677
84,0.0023947478680740658
85,0.0023666607113678236
86,0.002339222026425565
87,0.0023124095808776993
88,0.0022862021471523756
89,0.0022605794463451383
90,0.002235522095809653
91,0.0022110115601848635
92,0.002187030105598533
93,0.0021635607568094056
94,0.0021405872570703036
95,0.002118094030512756
96,0.0020960661468702557
97,0.002074489288372253
98,0.00205334971865463
99,0.0020326342535448173
100,0.00201233023359097
101,0.00199242549821494
102,0.0019729083613781646
103,0.00195376758865814
104,0.0019349923756410183
105,0.001916572327542982
106,0.0018984974399796598
107,0.0018807580808088132
108,0.0018633449729770681
109,0.0018462491783065073
110,0.0018294620821615753
111,0.0018129753789410535
112,0.001796781058343755
113,0.0017808713923602277
114,0.0017652389229460867
115,0.0017498764503356603
116,0.0017347770219574852
117,0.0017199339219157947
118,0.0017053406610045617
119,0.0016909909672229162
120,0.0016768787767627966
121,0.0016629982254416417
122,0.0016493436405546884
123,0.001635909533123094
124,0.001622690590515626
125,0.001609681669423092
126,0.0015968777891659774
127,0.0015842741253170155
128,0.0015718660036215188
129,0.0015596488941993867
130,0.0015476184060136768
131,0.0015357702815915553
132,0.0015241003919842858
133,0.0015126047319537306
134,0.0015012794153735744
135,0.0014901206708341753
136,0.0014791248374406035
137,0.0014682883607940321
138,0.001457607789147216
139,0.0014470797697253184
140,0.0014367010452038535
141,0.001426468450335966
142,0.0014163789087217199
143,0.001406429429712463
144,0.001396617105443726
145,0.0013869391079904744
146,0.0013773926866388632
147,0.0013679751652689721
148,0.0013586839398432825
149,0.0013495164759959465
150,0.0013404703067181702
151,0.0013315430301352553
152,0.0013227323073711013
153,0.0013140358604961796
154,0.0013054514705551918
155,0.0012969769756708363
156,0.0012886102692202634
157,0.0012803492980810035
158,0.001272192060943294
159,0.0012641366066858846
160,0.0012561810328125668
161,0.0012483234839467817
162,0.0012405621503818142
163,0.0012328952666841861
164,0.0012253211103479904
165,0.0012178380004980148
166,0.0012104442966395837
167,0.0012031383974532006
168,0.001195918739632094
169,0.0011887837967609221
170,0.0011817320782339293
171,0.0011747621282109518
172,0.0011678725246097395
173,0.0011610618781331193
174,0.001154328831329612
175,0.0011476720576861603
176,0.0011410902607517028
177,0.0011345821732903693
178,0.0011281465564631408
179,0.0011217821990368645
180,0.0011154879166195603
181,0.0011092625509210026
182,0.0011031049690376211
183,0.0010970140627607687
184,0.0010909887479074992
185,0.0010850279636729783
186,0.0010791306720037395
187,0.0010732958569909827
188,0.0010675225242831972
189,0.001061809700517371
190,0.001056156432768123
191,0.0010505617880140873
192,0.001045024852620936
193,0.0010395447318404247
194,0.0010341205493249019
195,0.0010287514466567043
196,0.001023436582891935
197,0.0010181751341180908
198,0.0010129662930250692
199,0.0010078092684890712
200,0.001002703285168957
201,0.0009976475831146245
202,0.000992641417386985
203,0.0009876840576891499
204,0.0009827747880084314
205,0.0009779129062688031
206,0.0009730977239934507
207,0.0009683285659770864
208,0.0009636047699676906
209,0.0009589256863573664
210,0.0009542906778820083
211,0.0009496991193294912
212,0.0009451503972560961
213,0.0009406439097109066
214,0.0009361790659679154
215,0.0009317552862655859
216,0.0009273720015536373
217,0.0009230286532468082
218,0.0009187246929853866
219,0.0009144595824022842
220,0.0009102327928964477
221,0.0009060438054124088
222,0.0009018921102257801
223,0.000897777206734506
224,0.000893698603255697
225,0.0008896558168278658
226,0.0008856483730184037
227,0.0008816758057361365
228,0.0008777376570487966
229,0.0008738334770052745
230,0.0008699628234624915
231,0.00086612526191676
232,0.0008623203653395002
233,0.0008585477140171724
234,0.0008548068953953074
235,0.0008510975039265123
236,0.0008474191409223293
237,0.0008437714144088387
238,0.000840153938985894
239,0.0008365663356898834
240,0.0008330082318599153
241,0.0008294792610073283
242,0.0008259790626884301
243,0.0008225072823803711
244,0.0008190635713600654
245,0.0008156475865860697
246,0.0008122589905833381
247,0.0008088974513307712
248,0.0008055626421514783
249,0.00080225424160568
250,0.000798971933386178
251,0.000795715406216313
252,0.0007924843537503534
253,0.0007892784744762383
254,0.0007860974716206134
255,0.0007829410530560985
256,0.0007798089312107232
257,0.0007767008229794734
258,0.0007736164496378885
259,0.0007705555367576611
260,0.0007675178141241753
261,0.0007645030156559408
262,0.0007615108793258669
263,0.0007585411470843295
264,0.0007555935647839834
265,0.0007526678821062724
266,0.0007497638524895972
267,0.0007468812330590896
268,0.0007440197845579608
269,0.0007411792712803758
270,0.0007383594610058155
271,0.0007355601249348924
272,0.0007327810376265775
273,0.0007300219769368038
274,0.0007272827239584136
275,0.000724563062962413
276,0.0007218627813404992
277,0.0007191816695488348
278,0.0007165195210530281
279,0.0007138761322742994
280,0.0007112513025367942
281,0.0007086448340160243
282,0.0007060565316883993
283,0.0007034862032818291
284,0.0007009336592273682
285,0.0006983987126118738
286,0.000695881179131658
287,0.0006933808770471061
288,0.0006908976271382381
289,0.000688431252661193
290,0.0006859815793056091
291,0.0006835484351528856
292,0.0006811316506352956
293,0.0006787310584959391
294,0.0006763464937495087
295,0.000673977793643854
296,0.0006716247976223237
297,0.0006692873472868655
298,0.0006669652863618692
299,0.0006646584606587341
300,0.0006623667180411431
301,0.0006600899083910285
302,0.0006578278835752127
303,0.0006555804974127078
304,0.0006533476056426607
305,0.0006511290658929268
306,0.0006489247376492587
307,0.0006467344822250977
308,0.0006445581627319507
309,0.000642395644050343
310,0.0006402467928013319
311,0.0006381114773185675
312,0.000635989567620893
313,0.0006338809353854673
314,0.0006317854539213993
315,0.0006297029981438874
316,0.0006276334445488451
317,0.0006255766711880084
318,0.0006235325576445122
319,0.0006215009850089239
320,0.0006194818358557269
321,0.0006174749942202437
322,0.000615480345575985
323,0.0006134977768124229
324,0.0006115271762131738
325,0.000609568433434581
326,0.0006076214394846945
327,0.000605686086702634
328,0.0006037622687383287
329,0.0006018498805326263
330,0.0005999488182977644
331,0.000598058979498193
332,0.0005961802628317444
333,0.0005943125682111426
