n,MSE
1,0.004821931292578825
2,0.0048219312925788255
3,0.0007662202841704718
4,0.0007662202841704718
5,0.00024059683924094774
6,0.00024059683924094774
7,0.00010377145598087039
8,0.00010377145598087039
9,5.3699535832635426e-05
10,5.3699535832635426e-05
11,3.126069820002722e-05
12,3.126069820002722e-05
13,1.9757837434642838e-05
14,1.9757837434642838e-05
15,1.3268150090840595e-05
16,1.3268150090840597e-05
17,9.334424821348407e-06
18,9.334424821348407e-06
19,6.81328129294276e-06
20,6.8132812929427595e-06
21,5.123819317365055e-06
22,5.123819317365055e-06
23,3.949654007560784e-06
24,3.949654007560785e-06
25,3.1084585749883577e-06
26,3.1084585749883577e-06
27,2.490129600062722e-06
28,2.490129600062722e-06
29,2.025505492608554e-06
30,2.025505492608554e-06
31,1.6696551440614181e-06
32,1.6696551440614181e-06
33,1.3925272678263462e-06
34,1.3925272678263462e-06
35,1.1735056610751206e-06
36,1.1735056610751208e-06
37,9.981269921786364e-07
38,9.981269921786362e-07
39,8.560410445168129e-07
40,8.560410445168129e-07
41,7.397084583797903e-07
42,7.397084583797904e-07
43,6.435490896529573e-07
44,6.435490896529573e-07
45,5.63372911594329e-07
46,5.63372911594329e-07
47,4.959922431167545e-07
48,4.959922431167544e-07
49,4.3895281903855684e-07
50,4.3895281903855684e-07
51,3.903442523318723e-07
52,3.903442523318723e-07
53,3.48664467108864e-07
54,3.48664467108864e-07
55,3.1272141216735094e-07
56,3.1272141216735094e-07
57,2.8156090776843554e-07
58,2.815609077684355e-07
59,2.544130618720061e-07
60,2.544130618720061e-07
61,2.306520481534114e-07
62,2.306520481534114e-07
63,2.097656114728624e-07
64,2.0976561147286238e-07
65,1.9133173238097214e-07
66,1.9133173238097217e-07
67,1.7500061413646839e-07
68,1.7500061413646839e-07
69,1.6048066458717062e-07
70,1.6048066458717062e-07
71,1.4752750324608186e-07
72,1.4752750324608186e-07
73,1.359352785035046e-07
74,1.3593527850350464e-07
75,1.255297628789813e-07
76,1.255297628789813e-07
77,1.1616282697543671e-07
78,1.1616282697543671e-07
79,1.0770799001278593e-07
80,1.0770799001278591e-07
81,1.000568166225762e-07
